Date,Close
2010-03-11,156217936.0
2010-03-12,159436928.0
2010-03-15,165215568.0
2010-03-16,151757904.0
2010-03-17,151757904.0
2010-03-18,151757904.0
2010-03-19,158312240.0
2010-03-22,145319936.0
2010-03-23,138377760.0
2010-03-24,141984576.0
2010-03-25,143846160.0
2010-03-26,146638560.0
2010-03-29,141984576.0
2010-03-30,141286464.0
2010-03-31,141596752.0
2010-04-01,142294832.0
2010-04-05,128798384.0
2010-04-06,130892672.0
2010-04-07,128371744.0
2010-04-08,135042448.0
2010-04-09,133413528.0
2010-04-12,126975576.0
2010-04-13,124532248.0
2010-04-14,108398496.0
2010-04-15,107351360.0
2010-04-16,111268432.0
2010-04-19,115069216.0
2010-04-20,109949848.0
2010-04-21,113905720.0
2010-04-22,106071520.0
2010-04-23,105528576.0
2010-04-26,105877600.0
2010-04-27,116349024.0
2010-04-28,116387800.0
2010-04-29,109833472.0
2010-04-30,124920072.0
2010-05-03,115263072.0
2010-05-04,130427224.0
2010-05-05,134654608.0
2010-05-06,143652224.0
2010-05-07,153348016.0
2010-05-10,127208248.0
2010-05-11,129729176.0
2010-05-12,118249392.0
2010-05-13,128022688.0
2010-05-14,139657632.0
2010-05-17,133258384.0
2010-05-18,144738176.0
2010-05-19,142721488.0
2010-05-20,154433920.0
2010-05-21,143652224.0
2010-05-24,151447648.0
2010-05-25,148345008.0
2010-05-26,149043088.0
2010-05-27,126355048.0
2010-05-28,132250064.0
2010-06-01,141092592.0
2010-06-02,126044768.0
2010-06-03,121390776.0
2010-06-04,137253072.0
2010-06-07,152184544.0
2010-06-08,153890976.0
2010-06-09,157265072.0
2010-06-10,139541216.0
2010-06-11,133568672.0
2010-06-14,130776288.0
2010-06-15,109251712.0
2010-06-16,107622848.0
2010-06-17,108359720.0
2010-06-18,109135376.0
2010-06-21,111811400.0
2010-06-22,117783992.0
2010-06-23,116542936.0
2010-06-24,127091896.0
2010-06-25,126859216.0
2010-06-28,124881280.0
2010-06-29,141596752.0
2010-06-30,148577696.0
2010-07-01,147840816.0
2010-07-02,149663664.0
2010-07-06,149896336.0
2010-07-07,126975576.0
2010-07-08,127091896.0
2010-07-09,122670656.0
2010-07-12,118676000.0
2010-07-13,111501152.0
2010-07-14,112005336.0
2010-07-15,112780984.0
2010-07-16,123640216.0
2010-07-19,114681352.0
2010-07-20,114138392.0
2010-07-21,120964200.0
2010-07-22,109290504.0
2010-07-23,107661640.0
2010-07-26,103317912.0
2010-07-27,105838816.0
2010-07-28,111307200.0
2010-07-29,117745200.0
2010-07-30,121390776.0
2010-08-02,115340672.0
2010-08-03,118714776.0
2010-08-04,115224312.0
2010-08-05,117241048.0
2010-08-06,117939104.0
2010-08-09,115689704.0
2010-08-10,124493472.0
2010-08-11,139929088.0
2010-08-12,145203552.0
2010-08-13,149392160.0
2010-08-16,147414192.0
2010-08-17,141906992.0
2010-08-18,137020368.0
2010-08-19,143962528.0
2010-08-20,142333600.0
2010-08-23,147414192.0
2010-08-24,154627856.0
2010-08-25,150090240.0
2010-08-26,158855216.0
2010-08-27,149081920.0
2010-08-30,160949472.0
2010-08-31,170063504.0
2010-09-01,154705376.0
2010-09-02,144893312.0
2010-09-03,137175504.0
2010-09-07,145281152.0
2010-09-08,147414192.0
2010-09-09,146948800.0
2010-09-10,152882640.0
2010-09-13,137834800.0
2010-09-14,130582408.0
2010-09-15,131978560.0
2010-09-16,128643208.0
2010-09-17,128449320.0
2010-09-20,126742872.0
2010-09-21,127324608.0
2010-09-22,132676624.0
2010-09-23,130194512.0
2010-09-24,114409880.0
2010-09-27,116542936.0
2010-09-28,110803048.0
2010-09-29,108902680.0
2010-09-30,110880616.0
2010-10-01,112082896.0
2010-10-04,116853184.0
2010-10-05,109911048.0
2010-10-06,114177176.0
2010-10-07,112703416.0
2010-10-08,109678360.0
2010-10-11,106963528.0
2010-10-12,104791672.0
2010-10-13,104287496.0
2010-10-14,105140736.0
2010-10-15,103240360.0
2010-10-18,105140736.0
2010-10-19,109445640.0
2010-10-20,107700400.0
2010-10-21,109135376.0
2010-10-22,102891320.0
2010-10-25,99323272.0
2010-10-26,100564344.0
2010-10-27,91256416.0
2010-10-28,91140056.0
2010-10-29,89356032.0
2010-11-01,90286840.0
2010-11-02,88580408.0
2010-11-03,85671648.0
2010-11-04,77682360.0
2010-11-05,76247384.0
2010-11-08,76247384.0
2010-11-09,78613152.0
2010-11-10,78651928.0
2010-11-11,81366752.0
2010-11-12,81521896.0
2010-11-15,83305880.0
2010-11-16,86951496.0
2010-11-17,87106648.0
2010-11-18,82219960.0
2010-11-19,78108968.0
2010-11-22,75277816.0
2010-11-23,77061832.0
2010-11-24,71128040.0
2010-11-26,72330296.0
2010-11-29,72834488.0
2010-11-30,75394168.0
2010-12-01,68219312.0
2010-12-02,64185872.0
2010-12-03,63487788.0
2010-12-06,63681704.0
2010-12-07,63526568.0
2010-12-08,62052808.0
2010-12-09,61664972.0
2010-12-10,61393500.0
2010-12-13,62944824.0
2010-12-14,64214508.0
2010-12-15,66202188.0
2010-12-16,65025828.0
2010-12-17,63687164.0
2010-12-20,64295632.0
2010-12-21,62997564.0
2010-12-22,62875848.0
2010-12-23,63524908.0
2010-12-27,63159816.0
2010-12-28,63889992.0
2010-12-29,63687164.0
2010-12-30,63159816.0
2010-12-31,63403184.0
2011-01-03,62064556.0
2011-01-04,61740044.0
2011-01-05,61009868.0
2011-01-06,57602400.0
2011-01-07,57237312.0
2011-01-10,55452452.0
2011-01-11,54884540.0
2011-01-12,51761040.0
2011-01-13,51477080.0
2011-01-14,47623396.0
2011-01-18,48069608.0
2011-01-19,51314812.0
2011-01-20,53099684.0
2011-01-21,54316624.0
2011-01-24,50057300.0
2011-01-25,51355388.0
2011-01-26,49935604.0
2011-01-27,47055472.0
2011-01-28,50949732.0
2011-01-31,50341264.0
2011-02-01,46568700.0
2011-02-02,45879100.0
2011-02-03,45716844.0
2011-02-04,42958412.0
2011-02-07,43404628.0
2011-02-08,43566876.0
2011-02-09,44378184.0
2011-02-10,43972536.0
2011-02-11,42917848.0
2011-02-14,41944276.0
2011-02-15,43161228.0
2011-02-16,41782024.0
2011-02-17,39956604.0
2011-02-18,40281116.0
2011-02-22,44986664.0
2011-02-23,47501696.0
2011-02-24,45140796.0
2011-02-25,41611644.0
2011-02-28,43007088.0
2011-03-01,45497768.0
2011-03-02,43583112.0
2011-03-03,41068072.0
2011-03-04,42317484.0
2011-03-07,45846648.0
2011-03-08,45570800.0
2011-03-09,49667872.0
2011-03-10,53367404.0
2011-03-11,51955736.0
2011-03-14,52150456.0
2011-03-15,53967772.0
2011-03-16,57529388.0
2011-03-17,55330760.0
2011-03-18,54998128.0
2011-03-21,51882728.0
2011-03-22,53192004.0
2011-03-23,51722664.0
2011-03-24,47938476.0
2011-03-25,48184736.0
2011-03-28,47971308.0
2011-03-29,46666140.0
2011-03-30,46600468.0
2011-03-31,47692212.0
2011-04-01,49333944.0
2011-04-04,50622696.0
2011-04-05,47051940.0
2011-04-06,44950528.0
2011-04-07,45689300.0
2011-04-08,46731804.0
2011-04-11,47913848.0
2011-04-12,50918212.0
2011-04-13,50515984.0
2011-04-14,50318980.0
2011-04-15,49366780.0
2011-04-18,52009968.0
2011-04-19,51369700.0
2011-04-20,44794568.0
2011-04-21,44876648.0
2011-04-25,44737104.0
2011-04-26,42660312.0
2011-04-27,42668532.0
2011-04-28,43366256.0
2011-04-29,42799860.0
2011-05-02,44063980.0
2011-05-03,45738556.0
2011-05-04,45599016.0
2011-05-05,45352752.0
2011-05-06,44351300.0
2011-05-09,44679652.0
2011-05-10,44096828.0
2011-05-11,45081860.0
2011-05-12,43234916.0
2011-05-13,44893060.0
2011-05-16,46772852.0
2011-05-17,48430988.0
2011-05-18,45771400.0
2011-05-19,46838512.0
2011-05-20,47232540.0
2011-05-23,50212264.0
2011-05-24,51328648.0
2011-05-25,49924964.0
2011-05-26,48513068.0
2011-05-27,46756432.0
2011-05-31,44712472.0
2011-06-01,48677252.0
2011-06-02,48693676.0
2011-06-03,51271188.0
2011-06-06,52445012.0
2011-06-07,51656984.0
2011-06-08,54784484.0
2011-06-09,54571056.0
2011-06-10,57271700.0
2011-06-13,58855956.0
2011-06-14,55539684.0
2011-06-15,58741056.0
2011-06-16,60858880.0
2011-06-17,63518472.0
2011-06-20,63190116.0
2011-06-21,58470152.0
2011-06-22,59291028.0
